Date;Rating;Content
July 2022;1.0;Worst experience 0/5 Bad quality of food Got stomach infection And cough and cold Cold food Stale good Smell in food Our all group caught stomach infection Never go to this place There are also many restrictions Speakers are not allowed in hotel
July 2022;5.0;My stay was very memorable and enjoyful . Every staff was perfect in their work . Really wants to highlight the name of Miss Palak who is very professional and cooperative In her work . Food is very tasty . Hospitality is too good Will recommend to our every family member . Best hotel with best location near to the mall road
July 2022;5.0;I went to Ramada by wyndham ,Mussoorie, starting with check in , it was smooth and quick , I was taken to the room , while miss palak from front desk guided me about everything, she was very sweet and helpful, hospitality was great services were on point
July 2022;5.0;very memorable stay, best sérvice. Amazing food. very neat and clean rooms. weather is awesome. I like the idea of evening tea with tàmbola activity. stàff is very cooperative. really wants to highlight thé name of Miss Palak Chauhan. She is very kind and humble làdy.
July 2022;5.0;Shubham ji gives us the best service to us...we will definately come back soon... And the gr mam was very humble and kind hearted Staff members treated us like a family its like they were coming again and again to ask for little little things and I love that....
July 2022;5.0;We had a great time Mr Shubham & Rajendra was very helpful you can enjoy the property nice view hospitality is good we will come next time.Food is fantastic specially high tea & delicious breakfast
July 2022;5.0;We Just have a great Stay.. Very Closed to the mall road Our Experience In the restaurant was very good Food was excellent Breakfast was good Staff Is cooperative Special thanks to Miss Anjali always there to help us we would recommend our friends to visit Ramada hotel Mussoorie Awesome property,,
July 2022;5.0;The location of the hotel is just right. It is on mall road. The breakfast and evening tea was included in the room tariff. Staff went the extra mileage to bring cake for my daughter s birthday celebration. Food and the hospitality is awesome. Had a real good stay.
July 2022;5.0;My Stay during 3 july to 7 july is very good :: FRONT desk staff On Arrival::During All 4 Days Were very much Coperative::Hostile::Very Humble:: Although weather In 4 Nights Stay Was Good But From The core of my heart Hotel service was much better I Would like to memtion the name of Miss Palak Who was always cooperative not only with me BUT To whole of guest arriving were praising Her service and Nature of asking every guest For Health FOOD CHOICE PREFERENCE AND HEALTH RELATED ANY ASSISTENCE. And LOT OF THANKS TO MR HARSH AND MS HEMA I M 1000% AND MY ALL GOGIA FAMILY WILL BE PERMANENT MEMBERS TO STAY IN RAMADA MASSURRIE THANKS gGOBIND SINGH GOGIA
July 2022;5.0;The best hotel in mussorie. Very nice service and good, cooperative people. Nice experience. Would like to visit again next time. The breakfast and snacks were free and exquisite. No complains from our side.
July 2022;5.0;Great stay for 2 days. Very close to Mall road. They do fun activities with tea/ snacks in the evening . Great view from hotel. Palak at hotel reception was really nice to talk to and helpful. Highly recommended for family and couples . Would love to visit again
July 2022;5.0;The service is the best. The advisor Ms. palak gave the best hospitalitity and we loved the stay. Will give 10/10 in hospitality and food. The weather was very nice and its very near to the mall road.
July 2022;5.0;Service is excellent. Ms. Palak welcome was great.Neat and clean property.All staff was great from A to Z.Food Quilty was good .Hotel is having a great interior. Great location near to mall road.Nice experience.
July 2022;5.0;Stay was very good service is excellent food is fabulous. Service of Mr.Shiva is very good.Stay was very comfortable and rich.5 Star rating.Hotel is very neat and clean.Location is excellent. Really loved my stay.
July 2022;1.0;We are regular visitor in this hotel. But this time hotel staff makes our holidays pathetic. On 1 day When we ask to drink the whisky in garden which is adjoining to our room they refuse u cant drink whisky outside only in rooms.its hotel policy. On 2 second they said we will charge 1000 per bottle than u can drink. Now where is hotel policy. Than they said u cant have hooka in the hotel its against hotel policy. When we saw them that someone is having hokka than they said hokka is allowed only in room balcony. Now again their words are changed. Now third one they said speakers are not allowed in hotel premises we said ok. When we call the manage r & tell them please hear the sound someone is playing the speaker .than they have no answer to our question. There is mr vaibav
July 2022;5.0;Excellent experience...good food ..very cooperative staff .specially....Palak. ..She is Guest Relations Executive and she is very professionalin her work..must visit property.. Will visit again and recommend
July 2022;4.0;I had an amazing stay. I loved the stay. They even did the decorations for me and it was lovely. Special mention to Palak and Shubam. The service and food was really nice. I would surely like to visit this place again.
July 2022;5.0;The hotel has some amazing staff and everything was so good and we had a great time in this hotel special thanks to the staff member palak she was amazing and helpful The food was amazing and had a lot of options for the food
July 2022;5.0;Their is a very good stay in Ramada I will recommend You all to visit this luxurious hotel their food is just amazing. I will like to credit some people palak, Gokul , Farman , Ramesh, Trepan . They all are so helpful people . Thank you
July 2022;5.0;We have enjoyed the stay & food. Special thanks to Front Desk Staff ..Palak...Amazing experience. Recreation facility is good. I liked the idea of High Tea with games. Outdoor activities were also there. It will give Resort feeling too. SS Gupta
July 2022;5.0;The mall road view room was really beautiful. The picture palace location was magnificique.The food service and quality was really good. Service by Mr.Shubham Kumar , front office was praise worthy! We had a really pleasant stay!
July 2022;5.0;Their staff is so polite moreover there food is so yummy I love visiting here . The staff are helpful Anjali , palak , Ramesh , Trapani. There is so beautiful weather their rooms are so neat and clean.
July 2022;5.0;This hotel is awesome, there staff is so polite and sweet , I loved this hotel there services are so good , The staff I like the most is Palak and Mr Kuldeep . They both are very helpful . I will visit again
July 2022;5.0;Nice property with nice view . Good ambience. Special thanks to Miss Palak for special attention and for her great service . She is very much profession her work . Rooms are also very good . Will plan again
June 2022;5.0;Good property. Nice ambience. Tasty food . Rooms have the best view . Feeling like we are in heaven. Service is also up to the mark . MISS Palak was very helpful and cooperative during our stay . Will visit again
June 2022;5.0;We had an amazing stay at the property. The staff is so cooperative and service is top notch. Mr. Shubham Kumar front office has helped a lot. We will give him 5 stars for all the services. Food quality is amazing. This is the beat property to have a fabulous stay in mussorie
June 2022;5.0;Must visit and stay with amazing staff facilities and a speacial thanks to the staff and Mr Shubham for hosting us so well. The food was amazing and the service was remarkable plus the location of the hotel was mesmerising.
June 2022;5.0;It was a very good stay here. Faraz and Rajendra were very friendly and an excellent nature they had. Very happy stay we had as a family. Rooms were very clean and great hospitality. My baby also enjoyed the food here. All were very good.
June 2022;5.0;Gr8 place with amazing staff Rooms are very clean Love the food . love to vist this place again. staff memeber mr faraz and shamoon malik and Executive chef manveer ramola all these guys make our trip the best
